"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 12:38:09 ALMT 2019","Sat Mar 16 12:38:10 ALMT 2019","619","","test.test_del_group","","test.test_del_group","test_delete_some_group","test_delete_some_group",""
"passed","Sat Mar 16 12:38:01 ALMT 2019","Sat Mar 16 12:38:02 ALMT 2019","807","","test.test_change_group","","test.test_change_group","test_modify_group[None:nameWZD8n8q:headermqdv0n0j:footery3LFB2]","test_modify_group[None:nameWZD8n8q:headermqdv0n0j:footery3LFB2]",""
"passed","Sat Mar 16 12:38:02 ALMT 2019","Sat Mar 16 12:38:03 ALMT 2019","510","","test.test_change_group","","test.test_change_group","test_modify_group[None:nameemVCQFp:header8Jqwmkdm8e1zJUX:footer2]","test_modify_group[None:nameemVCQFp:header8Jqwmkdm8e1zJUX:footer2]",""
"passed","Sat Mar 16 12:38:03 ALMT 2019","Sat Mar 16 12:38:07 ALMT 2019","3821","","test.test_del_contact","","test.test_del_contact","test_del_contact","test_del_contact",""
"passed","Sat Mar 16 12:37:56 ALMT 2019","Sat Mar 16 12:37:57 ALMT 2019","218","","test.test_add_group","","test.test_add_group","test_add_group[None:name6GR4R:header2mp:footer]","test_add_group[None:name6GR4R:header2mp:footer]",""
"passed","Sat Mar 16 12:38:02 ALMT 2019","Sat Mar 16 12:38:02 ALMT 2019","547","","test.test_change_group","","test.test_change_group","test_modify_group[None:name6GR4R:header2mp:footer]","test_modify_group[None:name6GR4R:header2mp:footer]",""
"passed","Sat Mar 16 12:38:12 ALMT 2019","Sat Mar 16 12:38:12 ALMT 2019","43","","test.test_phones","","test.test_phones","test_all_phones_on_home_page","test_all_phones_on_home_page",""
"passed","Sat Mar 16 12:38:07 ALMT 2019","Sat Mar 16 12:38:09 ALMT 2019","2121","","test.test_del_contact_from_group","","test.test_del_contact_from_group","test_del_contacts_from_group","test_del_contacts_from_group",""
"passed","Sat Mar 16 12:37:57 ALMT 2019","Sat Mar 16 12:37:58 ALMT 2019","1127","","test.test_change_contact","","test.test_change_contact","test_modify_contact[None:lnameXSf2vBM:fname0Z8BScbp]","test_modify_contact[None:lnameXSf2vBM:fname0Z8BScbp]",""
"passed","Sat Mar 16 12:38:03 ALMT 2019","Sat Mar 16 12:38:03 ALMT 2019","386","","test.test_db_matches_ui","","test.test_db_matches_ui","test_group_list","test_group_list",""
"passed","Sat Mar 16 12:38:11 ALMT 2019","Sat Mar 16 12:38:12 ALMT 2019","725","","test.test_phones","","test.test_phones","test_phones_on_contact_view_page","test_phones_on_contact_view_page",""
"passed","Sat Mar 16 12:38:10 ALMT 2019","Sat Mar 16 12:38:11 ALMT 2019","1235","","test.test_phones","","test.test_phones","test_phones_on_home_page","test_phones_on_home_page",""
"passed","Sat Mar 16 12:37:45 ALMT 2019","Sat Mar 16 12:37:52 ALMT 2019","7031","","test.test_add_contact","","test.test_add_contact","test_add_contact[None:lnameXSf2vBM:fname0Z8BScbp]","test_add_contact[None:lnameXSf2vBM:fname0Z8BScbp]",""
"passed","Sat Mar 16 12:37:52 ALMT 2019","Sat Mar 16 12:37:53 ALMT 2019","1661","","test.test_add_contact","","test.test_add_contact","test_add_contact[None:lnamefS1IIbzqY:fnameB4]","test_add_contact[None:lnamefS1IIbzqY:fnameB4]",""
"passed","Sat Mar 16 12:37:58 ALMT 2019","Sat Mar 16 12:38:00 ALMT 2019","1738","","test.test_change_contact","","test.test_change_contact","test_modify_contact[None:lnamefS1IIbzqY:fnameB4]","test_modify_contact[None:lnamefS1IIbzqY:fnameB4]",""
"passed","Sat Mar 16 12:38:00 ALMT 2019","Sat Mar 16 12:38:01 ALMT 2019","1271","","test.test_change_contact","","test.test_change_contact","test_modify_contact[None:lnametxAl:fname]","test_modify_contact[None:lnametxAl:fname]",""
"passed","Sat Mar 16 12:37:55 ALMT 2019","Sat Mar 16 12:37:56 ALMT 2019","1122","","test.test_add_contact_to_group","","test.test_add_contact_to_group","test_add_contacts_to_group","test_add_contacts_to_group",""
"passed","Sat Mar 16 12:37:56 ALMT 2019","Sat Mar 16 12:37:56 ALMT 2019","291","","test.test_add_group","","test.test_add_group","test_add_group[None:nameWZD8n8q:headermqdv0n0j:footery3LFB2]","test_add_group[None:nameWZD8n8q:headermqdv0n0j:footery3LFB2]",""
"passed","Sat Mar 16 12:37:57 ALMT 2019","Sat Mar 16 12:37:57 ALMT 2019","287","","test.test_add_group","","test.test_add_group","test_add_group[None:nameemVCQFp:header8Jqwmkdm8e1zJUX:footer2]","test_add_group[None:nameemVCQFp:header8Jqwmkdm8e1zJUX:footer2]",""
"passed","Sat Mar 16 12:37:53 ALMT 2019","Sat Mar 16 12:37:55 ALMT 2019","1686","","test.test_add_contact","","test.test_add_contact","test_add_contact[None:lnametxAl:fname]","test_add_contact[None:lnametxAl:fname]",""
